,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[47, 14, 6, 28]"
1,linear,0.1,,,100,"[47, 14, 6, 28]"
2,linear,0.1,,,150,"[47, 14, 6, 28]"
3,rbf,0.1,1,,50,"[49, 12, 9, 25]"
4,rbf,0.1,1,,100,"[49, 12, 9, 25]"
5,rbf,0.1,1,,150,"[49, 12, 9, 25]"
6,poly,0.1,1,2,50,"[47, 14, 7, 27]"
7,poly,0.1,1,2,100,"[46, 15, 7, 27]"
8,poly,0.1,1,2,150,"[46, 15, 7, 27]"
9,poly,0.1,1,3,50,"[44, 17, 6, 28]"
10,poly,0.1,1,3,100,"[43, 18, 6, 28]"
11,poly,0.1,1,3,150,"[43, 18, 6, 28]"
12,rbf,0.1,10.0,,50,"[52, 9, 15, 19]"
13,rbf,0.1,10.0,,100,"[52, 9, 15, 19]"
14,rbf,0.1,10.0,,150,"[52, 9, 15, 19]"
15,poly,0.1,10.0,2,50,"[47, 14, 6, 28]"
16,poly,0.1,10.0,2,100,"[46, 15, 6, 28]"
17,poly,0.1,10.0,2,150,"[46, 15, 6, 28]"
18,poly,0.1,10.0,3,50,"[43, 18, 8, 26]"
19,poly,0.1,10.0,3,100,"[44, 17, 8, 26]"
20,poly,0.1,10.0,3,150,"[44, 17, 8, 26]"
21,linear,1.0,,,50,"[48, 13, 7, 27]"
22,linear,1.0,,,100,"[48, 13, 7, 27]"
23,linear,1.0,,,150,"[48, 13, 7, 27]"
24,rbf,1.0,1,,50,"[46, 15, 8, 26]"
25,rbf,1.0,1,,100,"[47, 14, 8, 26]"
26,rbf,1.0,1,,150,"[46, 15, 8, 26]"
27,poly,1.0,1,2,50,"[48, 13, 6, 28]"
28,poly,1.0,1,2,100,"[47, 14, 6, 28]"
29,poly,1.0,1,2,150,"[47, 14, 6, 28]"
30,poly,1.0,1,3,50,"[43, 18, 8, 26]"
31,poly,1.0,1,3,100,"[44, 17, 8, 26]"
32,poly,1.0,1,3,150,"[44, 17, 8, 26]"
33,rbf,1.0,10.0,,50,"[44, 17, 8, 26]"
34,rbf,1.0,10.0,,100,"[44, 17, 8, 26]"
35,rbf,1.0,10.0,,150,"[44, 17, 8, 26]"
36,poly,1.0,10.0,2,50,"[46, 15, 6, 28]"
37,poly,1.0,10.0,2,100,"[46, 15, 6, 28]"
38,poly,1.0,10.0,2,150,"[46, 15, 6, 28]"
39,poly,1.0,10.0,3,50,"[43, 18, 8, 26]"
40,poly,1.0,10.0,3,100,"[44, 17, 8, 26]"
41,poly,1.0,10.0,3,150,"[44, 17, 8, 26]"
42,linear,10.0,,,50,"[48, 13, 7, 27]"
43,linear,10.0,,,100,"[48, 13, 7, 27]"
44,linear,10.0,,,150,"[48, 13, 7, 27]"
45,rbf,10.0,1,,50,"[44, 17, 8, 26]"
46,rbf,10.0,1,,100,"[44, 17, 8, 26]"
47,rbf,10.0,1,,150,"[44, 17, 8, 26]"
48,poly,10.0,1,2,50,"[47, 14, 6, 28]"
49,poly,10.0,1,2,100,"[46, 15, 6, 28]"
50,poly,10.0,1,2,150,"[47, 14, 6, 28]"
51,poly,10.0,1,3,50,"[43, 18, 8, 26]"
52,poly,10.0,1,3,100,"[44, 17, 8, 26]"
53,poly,10.0,1,3,150,"[44, 17, 8, 26]"
54,rbf,10.0,10.0,,50,"[44, 17, 8, 26]"
55,rbf,10.0,10.0,,100,"[44, 17, 8, 26]"
56,rbf,10.0,10.0,,150,"[44, 17, 8, 26]"
57,poly,10.0,10.0,2,50,"[46, 15, 6, 28]"
58,poly,10.0,10.0,2,100,"[44, 17, 6, 28]"
59,poly,10.0,10.0,2,150,"[44, 17, 6, 28]"
60,poly,10.0,10.0,3,50,"[43, 18, 8, 26]"
61,poly,10.0,10.0,3,100,"[44, 17, 8, 26]"
62,poly,10.0,10.0,3,150,"[44, 17, 8, 26]"
63,linear,100.0,,,50,"[48, 13, 7, 27]"
64,linear,100.0,,,100,"[48, 13, 7, 27]"
65,linear,100.0,,,150,"[48, 13, 7, 27]"
66,rbf,100.0,1,,50,"[44, 17, 8, 26]"
67,rbf,100.0,1,,100,"[44, 17, 8, 26]"
68,rbf,100.0,1,,150,"[44, 17, 8, 26]"
69,poly,100.0,1,2,50,"[46, 15, 6, 28]"
70,poly,100.0,1,2,100,"[46, 15, 6, 28]"
71,poly,100.0,1,2,150,"[46, 15, 6, 28]"
72,poly,100.0,1,3,50,"[43, 18, 8, 26]"
73,poly,100.0,1,3,100,"[44, 17, 8, 26]"
74,poly,100.0,1,3,150,"[44, 17, 8, 26]"
75,rbf,100.0,10.0,,50,"[44, 17, 8, 26]"
76,rbf,100.0,10.0,,100,"[44, 17, 8, 26]"
77,rbf,100.0,10.0,,150,"[44, 17, 8, 26]"
78,poly,100.0,10.0,2,50,"[44, 17, 6, 28]"
79,poly,100.0,10.0,2,100,"[44, 17, 6, 28]"
80,poly,100.0,10.0,2,150,"[44, 17, 6, 28]"
81,poly,100.0,10.0,3,50,"[43, 18, 8, 26]"
82,poly,100.0,10.0,3,100,"[44, 17, 8, 26]"
83,poly,100.0,10.0,3,150,"[44, 17, 8, 26]"
84,linear,1000.0,,,50,"[48, 13, 7, 27]"
85,linear,1000.0,,,100,"[48, 13, 7, 27]"
86,linear,1000.0,,,150,"[48, 13, 7, 27]"
87,rbf,1000.0,1,,50,"[44, 17, 8, 26]"
88,rbf,1000.0,1,,100,"[44, 17, 8, 26]"
89,rbf,1000.0,1,,150,"[44, 17, 8, 26]"
90,poly,1000.0,1,2,50,"[44, 17, 6, 28]"
91,poly,1000.0,1,2,100,"[44, 17, 6, 28]"
92,poly,1000.0,1,2,150,"[44, 17, 6, 28]"
93,poly,1000.0,1,3,50,"[43, 18, 8, 26]"
94,poly,1000.0,1,3,100,"[44, 17, 8, 26]"
95,poly,1000.0,1,3,150,"[44, 17, 8, 26]"
96,rbf,1000.0,10.0,,50,"[44, 17, 8, 26]"
97,rbf,1000.0,10.0,,100,"[44, 17, 8, 26]"
98,rbf,1000.0,10.0,,150,"[44, 17, 8, 26]"
99,poly,1000.0,10.0,2,50,"[44, 17, 6, 28]"
100,poly,1000.0,10.0,2,100,"[44, 17, 6, 28]"
101,poly,1000.0,10.0,2,150,"[44, 17, 6, 28]"
102,poly,1000.0,10.0,3,50,"[43, 18, 8, 26]"
103,poly,1000.0,10.0,3,100,"[44, 17, 8, 26]"
104,poly,1000.0,10.0,3,150,"[44, 17, 8, 26]"
