,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[53, 8, 32, 2]"
1,1,50,0.75,"[61, 0, 33, 1]"
2,1,50,1.0,"[52, 9, 32, 2]"
3,1,100,0.5,"[52, 9, 32, 2]"
4,1,100,0.75,"[61, 0, 33, 1]"
5,1,100,1.0,"[6, 55, 1, 33]"
6,1,150,0.5,"[52, 9, 32, 2]"
7,1,150,0.75,"[61, 0, 33, 1]"
8,1,150,1.0,"[52, 9, 32, 2]"
9,0,50,0.5,"[57, 4, 26, 8]"
10,0,50,0.75,"[57, 4, 26, 8]"
11,0,50,1.0,"[57, 4, 25, 9]"
12,0,100,0.5,"[57, 4, 25, 9]"
13,0,100,0.75,"[57, 4, 25, 9]"
14,0,100,1.0,"[57, 4, 25, 9]"
15,0,150,0.5,"[57, 4, 25, 9]"
16,0,150,0.75,"[57, 4, 25, 9]"
17,0,150,1.0,"[57, 4, 25, 9]"
