,Gauss,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,1,"[20, 42, 2, 32]","[14, 47, 5, 30]","[19, 42, 3, 32]","[27, 34, 1, 34]","[21, 40, 6, 28]","[13, 48, 2, 32]","[15, 46, 3, 31]","[18, 43, 4, 30]","[9, 52, 3, 31]","[16, 45, 5, 29]"
1,0,"[44, 18, 7, 27]","[50, 11, 15, 20]","[44, 17, 9, 26]","[51, 10, 3, 32]","[48, 13, 15, 19]","[48, 13, 6, 28]","[43, 18, 8, 26]","[45, 16, 10, 24]","[39, 22, 5, 29]","[47, 14, 9, 25]"
