,Gauss,Estimators,Learning Rate,Confusion Matrix
0,1,50,0.5,"[50, 11, 34, 1]"
1,1,50,0.75,"[47, 14, 34, 1]"
2,1,50,1.0,"[45, 16, 22, 13]"
3,1,100,0.5,"[50, 11, 34, 1]"
4,1,100,0.75,"[47, 14, 34, 1]"
5,1,100,1.0,"[37, 24, 23, 12]"
6,1,150,0.5,"[50, 11, 34, 1]"
7,1,150,0.75,"[47, 14, 34, 1]"
8,1,150,1.0,"[37, 24, 23, 12]"
9,0,50,0.5,"[54, 7, 27, 8]"
10,0,50,0.75,"[54, 7, 26, 9]"
11,0,50,1.0,"[54, 7, 26, 9]"
12,0,100,0.5,"[54, 7, 26, 9]"
13,0,100,0.75,"[55, 6, 26, 9]"
14,0,100,1.0,"[55, 6, 26, 9]"
15,0,150,0.5,"[55, 6, 26, 9]"
16,0,150,0.75,"[55, 6, 25, 10]"
17,0,150,1.0,"[55, 6, 25, 10]"
