,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[40, 21, 9, 26]"
1,0.0001,0.1,"[41, 20, 9, 26]"
2,0.0001,0.2,"[45, 16, 12, 23]"
3,0.001,0.0,"[41, 20, 9, 26]"
4,0.001,0.1,"[41, 20, 9, 26]"
5,0.001,0.2,"[41, 20, 9, 26]"
