,Alpha,L1 ratio,Confusion Matrix
0,0.0001,0.0,"[41, 20, 11, 24]"
1,0.0001,0.1,"[40, 21, 11, 24]"
2,0.0001,0.2,"[40, 21, 11, 24]"
3,0.001,0.0,"[44, 17, 11, 24]"
4,0.001,0.1,"[44, 17, 11, 24]"
5,0.001,0.2,"[44, 17, 11, 24]"
