,N_Estimators,Max_Depth,Confusion Matrix
0,300,5,"[51, 10, 9, 26]"
1,300,10,"[51, 10, 10, 25]"
2,300,15,"[51, 10, 10, 25]"
3,500,5,"[51, 10, 10, 25]"
4,500,10,"[51, 10, 10, 25]"
5,500,15,"[51, 10, 10, 25]"
