,Kernel,C,Gamma,Degree,Estimators,Confusion Matrix
0,linear,0.1,,,50,"[43, 18, 8, 26]"
1,linear,0.1,,,100,"[43, 18, 8, 26]"
2,linear,0.1,,,150,"[43, 18, 8, 26]"
3,rbf,0.1,1,,50,"[44, 17, 8, 26]"
4,rbf,0.1,1,,100,"[44, 17, 8, 26]"
5,rbf,0.1,1,,150,"[44, 17, 8, 26]"
6,poly,0.1,1,2,50,"[42, 19, 8, 26]"
7,poly,0.1,1,2,100,"[42, 19, 8, 26]"
8,poly,0.1,1,2,150,"[42, 19, 8, 26]"
9,poly,0.1,1,3,50,"[44, 17, 7, 27]"
10,poly,0.1,1,3,100,"[44, 17, 7, 27]"
11,poly,0.1,1,3,150,"[44, 17, 7, 27]"
12,rbf,0.1,10.0,,50,"[48, 13, 12, 22]"
13,rbf,0.1,10.0,,100,"[48, 13, 12, 22]"
14,rbf,0.1,10.0,,150,"[48, 13, 12, 22]"
15,poly,0.1,10.0,2,50,"[44, 17, 7, 27]"
16,poly,0.1,10.0,2,100,"[44, 17, 7, 27]"
17,poly,0.1,10.0,2,150,"[44, 17, 7, 27]"
18,poly,0.1,10.0,3,50,"[44, 17, 7, 27]"
19,poly,0.1,10.0,3,100,"[44, 17, 7, 27]"
20,poly,0.1,10.0,3,150,"[44, 17, 7, 27]"
21,linear,1.0,,,50,"[43, 18, 8, 26]"
22,linear,1.0,,,100,"[43, 18, 8, 26]"
23,linear,1.0,,,150,"[43, 18, 8, 26]"
24,rbf,1.0,1,,50,"[44, 17, 7, 27]"
25,rbf,1.0,1,,100,"[44, 17, 7, 27]"
26,rbf,1.0,1,,150,"[44, 17, 7, 27]"
27,poly,1.0,1,2,50,"[44, 17, 7, 27]"
28,poly,1.0,1,2,100,"[44, 17, 8, 26]"
29,poly,1.0,1,2,150,"[44, 17, 8, 26]"
30,poly,1.0,1,3,50,"[44, 17, 7, 27]"
31,poly,1.0,1,3,100,"[44, 17, 7, 27]"
32,poly,1.0,1,3,150,"[44, 17, 7, 27]"
33,rbf,1.0,10.0,,50,"[44, 17, 7, 27]"
34,rbf,1.0,10.0,,100,"[44, 17, 7, 27]"
35,rbf,1.0,10.0,,150,"[44, 17, 7, 27]"
