,Alpha,L1 ratio,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,0.0,"[62, 0, 34, 0]","[45, 16, 11, 24]","[41, 20, 8, 27]","[47, 14, 8, 27]","[53, 8, 26, 8]","[57, 4, 18, 16]","[55, 6, 25, 9]","[46, 15, 18, 16]","[59, 2, 27, 7]","[56, 5, 20, 14]"
1,0.0001,0.1,"[62, 0, 34, 0]","[45, 16, 11, 24]","[44, 17, 8, 27]","[42, 19, 5, 30]","[30, 31, 3, 31]","[55, 6, 12, 22]","[50, 11, 10, 24]","[44, 17, 12, 22]","[50, 11, 18, 16]","[50, 11, 12, 22]"
2,0.0001,0.2,"[55, 7, 27, 7]","[42, 19, 9, 26]","[44, 17, 8, 27]","[42, 19, 6, 29]","[28, 33, 0, 34]","[52, 9, 11, 23]","[50, 11, 10, 24]","[44, 17, 12, 22]","[50, 11, 18, 16]","[50, 11, 12, 22]"
3,0.001,0.0,"[40, 22, 7, 27]","[44, 17, 10, 25]","[41, 20, 8, 27]","[50, 11, 7, 28]","[45, 16, 8, 26]","[53, 8, 10, 24]","[47, 14, 5, 29]","[45, 16, 13, 21]","[48, 13, 11, 23]","[48, 13, 9, 25]"
4,0.001,0.1,"[40, 22, 7, 27]","[44, 17, 10, 25]","[41, 20, 8, 27]","[50, 11, 7, 28]","[47, 14, 10, 24]","[52, 9, 9, 25]","[51, 10, 14, 20]","[45, 16, 13, 21]","[48, 13, 8, 26]","[48, 13, 10, 24]"
5,0.001,0.2,"[40, 22, 7, 27]","[44, 17, 10, 25]","[41, 20, 8, 27]","[50, 11, 7, 28]","[47, 14, 10, 24]","[52, 9, 9, 25]","[51, 10, 14, 20]","[45, 16, 13, 21]","[48, 13, 8, 26]","[48, 13, 10, 24]"
